City,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Bandarbeyla,SO,2021-06-28 15:04:38,9.4942,50.8122,78.31,79,34,28.39
120,Katherine,AU,2021-06-28 15:00:08,-14.4667,132.2667,62.92,72,38,0.0
121,Tsiroanomandidy,MG,2021-06-28 15:04:38,-18.7667,46.0333,66.7,37,4,3.22
122,Nikolskoye,RU,2021-06-28 15:04:39,59.7035,30.7861,71.49,98,100,6.62
123,Geraldton,AU,2021-06-28 15:04:39,-28.7667,114.6,61.21,82,75,17.27
124,Buckeye,US,2021-06-28 15:03:40,33.3703,-112.5838,97.61,25,26,19.04
125,Bethel,US,2021-06-28 15:04:39,41.3712,-73.414,89.35,74,1,10.36
126,Pangnirtung,CA,2021-06-28 15:04:40,66.1451,-65.7125,38.64,93,100,1.3
127,Zhigansk,RU,2021-06-28 15:04:40,66.7697,123.3711,55.22,93,95,9.06
128,Okha,RU,2021-06-28 15:04:41,53.5739,142.9478,44.67,92,6,11.03
129,Jieshi,CN,2021-06-28 15:04:41,22.8134,115.8257,81.95,89,100,11.7
130,La Ronge,CA,2021-06-28 15:04:41,55.1001,-105.2842,70.57,51,8,5.59
131,Daru,PG,2021-06-28 15:04:42,-9.0763,143.2092,76.8,91,51,14.38
132,Souillac,MU,2021-06-28 15:04:42,-20.5167,57.5167,74.35,75,29,12.97
133,Mapiri,BO,2021-06-28 15:04:42,-15.25,-68.1667,62.69,99,100,2.24
134,Qaanaaq,GL,2021-06-28 15:04:43,77.484,-69.3632,37.22,87,88,4.36
135,Purranque,CL,2021-06-28 15:04:43,-40.9167,-73.1667,35.26,81,98,1.1
136,Cabo San Lucas,MX,2021-06-28 15:04:43,22.8909,-109.9124,89.51,65,20,4.61
137,Port Hedland,AU,2021-06-28 15:04:44,-20.3167,118.5667,64.45,88,40,9.22
138,Cape Town,ZA,2021-06-28 15:02:27,-33.9258,18.4232,53.1,88,100,3.62
139,Aklavik,CA,2021-06-28 15:04:44,68.2191,-135.0107,71.4,33,41,10.94
140,Faya,SA,2021-06-28 15:04:45,18.3851,42.4509,73.92,46,98,9.57
141,Culpeper,US,2021-06-28 15:04:45,38.5004,-77.9664,90.05,69,1,4.0
142,Hobart,AU,2021-06-28 15:00:19,-42.8794,147.3294,41.05,93,0,1.01
143,Ndele,CF,2021-06-28 15:04:45,8.4109,20.6473,83.41,56,88,6.26
144,Kavieng,PG,2021-06-28 15:04:46,-2.5744,150.7967,82.04,78,73,10.07
145,Port Elizabeth,ZA,2021-06-28 15:04:46,-33.918,25.5701,62.89,67,20,24.16
146,Ocean City,US,2021-06-28 15:00:17,39.2776,-74.5746,90.25,77,87,5.01
147,Cidreira,BR,2021-06-28 15:04:47,-30.1811,-50.2056,50.5,59,54,18.79
148,Voyvozh,RU,2021-06-28 15:04:47,62.892,54.9635,69.42,62,97,5.68
149,Meadow Lake,US,2021-06-28 15:04:47,34.8014,-106.5436,69.53,56,95,8.72
150,Tommot,RU,2021-06-28 15:04:48,58.9564,126.2925,60.85,90,53,2.17
151,Pacific Grove,US,2021-06-28 15:04:48,36.6177,-121.9166,63.45,95,90,3.0
152,Mahibadhoo,MV,2021-06-28 15:02:02,3.7833,72.9667,82.81,74,85,13.0
153,Victoria,HK,2021-06-28 15:03:03,22.2855,114.1577,86.38,88,100,5.99
154,Ilulissat,GL,2021-06-28 15:04:49,69.2167,-51.1,39.22,93,75,12.66
155,Torbay,CA,2021-06-28 15:03:21,47.6666,-52.7314,64.67,93,100,21.36
156,Mae Hong Son,TH,2021-06-28 15:04:49,19.3003,97.9685,74.35,98,100,1.99
157,Vestmannaeyjar,IS,2021-06-28 15:04:50,63.4427,-20.2734,50.99,87,40,16.11
158,Namatanai,PG,2021-06-28 15:04:50,-3.6667,152.4333,79.74,83,99,9.84
159,Carnarvon,AU,2021-06-28 15:04:51,-24.8667,113.6333,55.47,65,1,0.0
160,Saint-Philippe,RE,2021-06-28 15:04:51,-21.3585,55.7679,72.99,81,27,8.14
161,Gamba,GA,2021-06-28 15:04:51,-2.65,10.0,77.68,70,24,10.27
162,San Angelo,US,2021-06-28 15:04:01,31.4638,-100.437,78.94,72,75,3.0
163,Kupang,ID,2021-06-28 15:04:52,-10.1667,123.5833,77.05,72,84,13.87
164,Bacolod,PH,2021-06-28 15:04:52,10.6667,122.95,78.91,86,1,4.38
165,Ramnagar,IN,2021-06-28 15:04:53,29.4,79.1167,88.36,48,2,3.96
166,Swinoujscie,PL,2021-06-28 15:04:53,53.9105,14.2471,86.49,53,0,8.05
167,East London,ZA,2021-06-28 15:04:53,-33.0153,27.9116,73.89,39,0,14.38
168,Hasaki,JP,2021-06-28 15:04:53,35.7333,140.8333,68.4,95,100,11.88
169,Vaini,TO,2021-06-28 15:04:54,-21.2,-175.2,71.76,83,20,9.22
170,Avera,US,2021-06-28 15:04:54,33.194,-82.5271,85.91,52,12,9.53
171,Itacoatiara,BR,2021-06-28 15:04:54,-3.1431,-58.4442,89.69,50,31,4.18
172,Acapulco,MX,2021-06-28 15:02:01,16.8634,-99.8901,74.28,89,100,8.25
173,Cam Ranh,VN,2021-06-28 15:04:55,11.9214,109.1591,82.36,65,20,6.91
174,Namibe,AO,2021-06-28 15:04:55,-15.1961,12.1522,76.03,57,43,13.94
175,Half Moon Bay,US,2021-06-28 15:03:41,37.4636,-122.4286,64.58,88,90,6.91
176,Ambanja,MG,2021-06-28 15:04:56,-13.6833,48.45,73.6,83,7,2.15
177,Honggang,CN,2021-06-28 15:04:56,46.4667,124.8667,74.59,62,55,1.92
178,Cahors,FR,2021-06-28 15:04:56,44.4167,1.3333,71.1,65,97,3.56
179,Kruisfontein,ZA,2021-06-28 15:04:57,-34.0033,24.7314,58.89,81,45,19.08
180,Bolilao,PH,2021-06-28 15:04:57,10.8833,122.7333,79.79,83,3,5.17
181,Idenao,CM,2021-06-28 15:04:57,4.2475,9.0047,80.11,81,100,5.14
182,Orlik,RU,2021-06-28 15:04:58,52.5178,99.825,47.21,82,52,3.11
183,Hirara,JP,2021-06-28 15:04:58,24.8,125.2833,82.81,86,100,20.4
184,Kalmunai,LK,2021-06-28 15:04:58,7.4167,81.8167,82.53,79,91,8.59
185,Chumikan,RU,2021-06-28 15:04:59,54.7183,135.315,44.56,99,100,4.81
186,Chokurdakh,RU,2021-06-28 15:04:59,70.6333,147.9167,43.86,81,100,16.6
187,Cockburn Town,TC,2021-06-28 15:01:28,21.4612,-71.1419,81.46,79,100,18.28
188,Manzil Salim,TN,2021-06-28 15:04:59,35.8567,8.4765,105.12,7,96,21.07
189,Almeirim,BR,2021-06-28 15:05:00,-1.5233,-52.5817,84.43,66,82,1.72
190,Hami,CN,2021-06-28 15:05:01,42.8,93.45,82.42,12,0,2.35
191,Walvis Bay,NA,2021-06-28 15:05:01,-22.9575,14.5053,61.09,60,0,7.11
192,Provideniya,RU,2021-06-28 15:05:01,64.3833,-173.3,47.35,82,100,6.46
193,Saint George,US,2021-06-28 15:02:32,37.1041,-113.5841,89.8,19,1,5.99
194,Korsakov,RU,2021-06-28 15:05:02,46.6328,142.7813,48.61,93,92,9.01
195,Denpasar,ID,2021-06-28 15:04:50,-8.65,115.2167,80.26,94,20,5.75
196,Ostrovnoy,RU,2021-06-28 15:05:03,68.0531,39.5131,60.89,67,94,5.41
197,Okhotsk,RU,2021-06-28 15:05:04,59.3833,143.3,50.76,90,0,5.7
198,Sioux Lookout,CA,2021-06-28 15:04:30,50.1001,-91.917,73.06,39,96,3.69
199,Itarema,BR,2021-06-28 15:05:04,-2.9248,-39.9167,87.24,50,2,7.43
200,Saint-Augustin,CA,2021-06-28 15:05:05,51.226,-58.6502,63.5,63,93,14.88
201,Tarakan,ID,2021-06-28 15:05:05,3.3,117.6333,76.5,94,75,2.3
202,Codrington,AU,2021-06-28 15:05:06,-38.2667,141.9667,43.3,90,0,9.35
