 ,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Port Blair,IN,11.6667,92.75,82.38,78,100,6.29,overcast clouds
168,Asosa,ET,10.0667,34.5333,62.04,91,100,4.38,light rain
169,Rocha,UY,-34.4833,-54.3333,43.25,93,100,24.2,moderate rain
170,Kahului,US,20.8947,-156.47,78.84,75,1,3.44,clear sky
171,Lagoa,PT,39.05,-27.9833,69.84,81,1,13.11,clear sky
172,Saint Anthony,US,45.0205,-93.218,85.91,58,75,1.99,broken clouds
173,Palmer,US,42.1584,-72.3287,94.48,57,75,5.99,broken clouds
174,Moose Factory,CA,51.2585,-80.6094,69.8,68,75,0.0,broken clouds
175,Chapadinha,BR,-3.7417,-43.3603,91.08,33,6,3.74,clear sky
176,Weligama,LK,5.9667,80.4167,78.28,88,48,7.85,scattered clouds
177,Kotido,UG,2.9806,34.1331,73.09,48,70,11.5,broken clouds
178,Ahipara,NZ,-35.1667,173.1667,55.74,66,100,16.02,overcast clouds
179,Severo-Kurilsk,RU,50.6789,156.125,45.41,93,54,8.72,broken clouds
180,Mount Gambier,AU,-37.8333,140.7667,42.71,93,56,8.05,broken clouds
181,Vero Beach,US,27.6386,-80.3973,90.03,67,40,3.0,scattered clouds
182,Viamao,BR,-30.0811,-51.0233,53.67,57,40,20.71,scattered clouds
183,Troyes,FR,48.3333,4.0833,75.54,64,0,4.61,light rain
184,Pasinler,TR,39.9803,41.6764,68.99,60,61,6.82,broken clouds
185,Areosa,PT,41.7178,-8.8571,73.31,72,23,15.01,few clouds
186,Mujiayingzi,CN,42.1167,118.7833,67.39,75,34,1.9,scattered clouds
187,Palora,EC,-1.7,-77.9333,78.78,76,30,2.35,light rain
188,Matadi,CD,-5.8167,13.45,80.8,60,34,8.34,scattered clouds
189,Boueni,YT,-12.9025,45.0761,75.18,70,6,5.64,clear sky
190,Santiago De Cuba,CU,20.0247,-75.8219,89.22,66,20,9.22,few clouds
191,Turtas,RU,58.9417,69.1325,62.85,81,99,5.35,overcast clouds
192,Bahia Blanca,AR,-38.7196,-62.2724,49.91,51,75,12.01,broken clouds
193,Tessalit,ML,20.1986,1.0114,106.21,6,1,17.65,clear sky
194,Geraldton,AU,-28.7667,114.6,55.81,94,90,8.05,overcast clouds
195,Crossville,US,35.949,-85.0269,86.25,66,75,4.0,broken clouds
196,Ponta Delgada,PT,37.7333,-25.6667,72.32,94,75,8.05,broken clouds
197,Lundazi,ZM,-12.2929,33.1782,58.5,55,40,6.22,scattered clouds
198,Chebenki,RU,51.9337,55.7077,82.15,56,33,7.09,scattered clouds
199,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,91.71,18,0,3.58,clear sky
200,Bubaque,GW,11.2833,-15.8333,80.87,79,38,13.2,scattered clouds
201,Fengzhen,CN,40.4394,113.1536,73.54,42,98,6.24,overcast clouds
202,Coquimbo,CL,-29.9533,-71.3436,60.53,51,0,11.5,clear sky
203,Avarua,CK,-21.2078,-159.775,71.65,56,75,8.05,broken clouds
204,Antalaha,MG,-14.9003,50.2788,69.35,86,13,7.72,few clouds
205,High Level,CA,58.5169,-117.136,68.11,94,75,4.61,broken clouds
206,Torbay,CA,47.6666,-52.7314,63.75,94,90,18.41,light rain
207,Mikhaylovka,RU,50.06,43.2379,76.23,67,26,7.47,scattered clouds
208,Meleuz,RU,52.9667,55.9167,70.95,78,66,2.24,broken clouds
209,Ostroleka,PL,53.0862,21.5757,75.69,73,99,5.95,overcast clouds
210,Smithers,CA,54.7804,-127.1743,79.12,50,1,0.0,clear sky
211,Kula,TR,38.5473,28.6498,79.68,41,2,13.29,clear sky
212,Nieuw Nickerie,SR,5.95,-56.9833,80.51,80,35,10.49,scattered clouds
213,Adria,IT,45.0564,12.0578,91.81,61,11,6.4,few clouds
214,Wladyslawowo,PL,54.7909,18.4009,67.78,77,2,5.55,clear sky
215,Bonavista,CA,48.6499,-53.1147,60.8,88,97,23.22,overcast clouds
216,Pangai,TO,-19.8,-174.35,75.31,57,20,10.36,few clouds
217,Buin,CL,-33.7333,-70.75,64.72,26,0,1.3,clear sky
218,Namibe,AO,-15.1961,12.1522,68.31,76,31,8.37,scattered clouds
219,Codrington,AU,-38.2667,141.9667,43.32,87,7,9.78,clear sky
220,Usolye,RU,59.4268,56.6808,72.21,91,30,5.08,scattered clouds
221,Margate,GB,51.3813,1.3862,67.17,94,77,3.0,broken clouds
222,Agadir,MA,30.4202,-9.5982,81.05,45,3,1.63,clear sky
223,Miri,MY,4.4148,114.0089,77.14,94,40,2.3,scattered clouds
224,Qaanaaq,GL,77.484,-69.3632,37.87,84,91,5.48,overcast clouds
225,Taoudenni,ML,22.6783,-3.9836,115.66,5,2,6.55,clear sky
226,Alice Springs,AU,-23.7,133.8833,35.15,80,0,2.3,clear sky
227,Muros,ES,42.7762,-9.0603,67.68,71,29,12.17,scattered clouds
228,Hasaki,JP,35.7333,140.8333,68.4,97,100,17.27,heavy intensity rain
229,Iqaluit,CA,63.7506,-68.5145,44.33,76,90,19.57,light rain
230,Bengkulu,ID,-3.8004,102.2655,74.64,92,72,4.45,broken clouds
231,Port-Cartier,CA,50.0334,-66.8654,73.62,62,27,9.57,scattered clouds
232,Nuuk,GL,64.1835,-51.7216,38.01,100,90,18.41,drizzle rain
233,Bereda,ES,43.2686,-7.5406,60.42,84,89,5.37,overcast clouds
234,Balti,MD,47.7617,27.9289,80.65,69,49,5.19,scattered clouds
